joao,hamburguer,terça-feira
maria,pizza,terça-feira
maria,coxinha,segunda-feira
maria,coxinha,segunda-feira
maria,pizza,terça-feira
maria,pizza,terça-feira
maria,hamburguer,terça-feira
joao,hamburguer,terça-feira
jose,hamburguer,sabado
maria,hamburguer,terça-feira
maria,pizza,terça-feira
maria,pizza,terça-feira
arnaldo,misto-quente,terça-feira
maria,coxinha,segunda-feira
arnaldo,misto-quente,terça-feira
maria,hamburguer,terça-feira
maria,pizza,terça-feira
maria,coxinha,segunda-feira
jose,hamburguer,sabado
joao,hamburguer,terça-feira
arnaldo,misto-quente,terça-feira
maria,pizza,terça-feira
maria,hamburguer,terça-feira
maria,coxinha,terça-feira
joao,hamburguer,terça-feira
maria,coxinha,segunda-feira
maria,hamburguer,terça-feira
jose,hamburguer,sabado
jose,hamburguer,sabado
maria,misto-quente,terça-feira
maria,coxinha,segunda-feira
maria,coxinha,segunda-feira
maria,pizza,terça-feira
maria,hamburguer,terça-feira
maria,hamburguer,terça-feira
maria,hamburguer,terça-feira
maria,pizza,terça-feira
arnaldo,misto-quente,terça-feira
joao,hamburguer,terça-feira
jose,hamburguer,sabado
joao,hamburguer,terça-feira
maria,hamburguer,terça-feira
jose,hamburguer,sabado
arnaldo,misto-quente,terça-feira
maria,hamburguer,terça-feira
maria,hamburguer,terça-feira
jose,hamburguer,sabado
jose,hamburguer,sabado
arnaldo,misto-quente,terça-feira
arnaldo,misto-quente,terça-feira
maria,hamburguer,terça-feira
arnaldo,misto-quente,terça-feira
arnaldo,misto-quente,terça-feira
maria,hamburguer,terça-feira
joao,hamburguer,terça-feira
joao,hamburguer,terça-feira
maria,pizza,terça-feira
joao,hamburguer,terça-feira
arnaldo,misto-quente,terça-feira
joao,hamburguer,terça-feira
maria,hamburguer,terça-feira
jose,hamburguer,sabado
maria,hamburguer,terça-feira
maria,hamburguer,terça-feira
maria,hamburguer,terça-feira
joao,hamburguer,terça-feira
arnaldo,misto-quente,terça-feira
maria,hamburguer,terça-feira
maria,coxinha,segunda-feira
jose,hamburguer,sabado
maria,pizza,terça-feira
maria,hamburguer,terça-feira
maria,pizza,sabado
maria,hamburguer,terça-feira
maria,coxinha,segunda-feira
jose,hamburguer,sabado
maria,coxinha,segunda-feira
maria,coxinha,segunda-feira
arnaldo,misto-quente,terça-feira
arnaldo,misto-quente,terça-feira
jose,hamburguer,sabado
jose,hamburguer,sabado
maria,coxinha,segunda-feira
joao,hamburguer,terça-feira
joao,hamburguer,terça-feira
maria,coxinha,segunda-feira
maria,coxinha,segunda-feira
jose,hamburguer,sabado
maria,hamburguer,terça-feira
maria,hamburguer,terça-feira
joao,hamburguer,terça-feira
arnaldo,misto-quente,terça-feira
joao,hamburguer,terça-feira
